Comunidades autónomas,Porcentaje Total Turistas,Tasa Variación Media
01 Andalucía,14.313374400677242,26.040997715353946
02 Aragón,0.5011163092696231,15.401827269353046
"03 Asturias, Principado de",0.44095830586345625,21.92695478102876
"04 Balears, Illes",16.936330744560376,37.03907284228965
05 Canarias,16.37999601968086,21.78669357203832
06 Cantabria,0.5097039358781154,18.13929630377296
07 Castilla y León,1.42916235416504,16.77816818965998
08 Castilla - La Mancha,0.254860186887138,14.090335212286128
09 Cataluña,21.348849141795053,24.629373182212724
10 Comunitat Valenciana,12.29809067965417,26.1316382852489
11 Extremadura,0.32888707811112133,18.145061809487423
12 Galicia,1.8984936429371937,17.955321959197217
"13 Madrid, Comunidad de",9.212345329670814,33.77510423036664
"14 Murcia, Región de",1.1465585209650688,21.56985812411762
"15 Navarra, Comunidad Foral de",0.427016621648357,24.170776553084234
16 País Vasco,2.3508222764020497,23.258251791613073
"17 Rioja, La",0.13879220209688847,26.60509655603657
18 Ceuta,0.054677139172034914,90.57298691683921
19 Melilla,0.02996511056539905,0.4277525434523909
Total,100.0,24.748161521596803
